DEPARTMENT,SUBJECT,COURSE,SECTION,professor_id,INSTRUCTOR,A,B,C,D,F,W,TOTAL,SEMESTER,YEAR
Art,AHIS,AHIS 1,1052,1,SEMERE M G,8,37,57,8,16,10,136,Spring,2012
Art,AHIS,AHIS 1,1053,1,SEMERE M G,6,36,74,8,10,14,148,Spring,2012
Art,AHIS,AHIS 1,1054,2,MEYER W J,29,10,1,3,8,1,52,Spring,2012
Art,AHIS,AHIS 1,1055,2,MEYER W J,11,24,5,0,4,5,49,Spring,2012
Art,AHIS,AHIS 1,4007,3,LYALL V I,10,14,3,5,5,4,41,Spring,2012
Art,AHIS,AHIS 2,1056,4,MIHAYLOVICH K W,17,13,4,4,3,10,51,Spring,2012
Art,AHIS,AHIS 2,1057,1,SEMERE M G,31,26,44,10,7,12,130,Spring,2012
Art,AHIS,AHIS 2,1058,5,ROWE S H,15,6,1,1,5,7,35,Spring,2012
Art,AHIS,AHIS 2,1059,2,MEYER W J,39,5,1,1,4,6,56,Spring,2012
Art,AHIS,AHIS 2,1060,2,MEYER W J,43,4,0,0,4,5,56,Spring,2012
Art,AHIS,AHIS 3,1061,2,MEYER W J,41,22,9,5,20,19,116,Spring,2012
Art,AHIS,AHIS 3,1062,6,MING L Y,11,8,6,1,9,5,40,Spring,2012
Art,AHIS,AHIS 11,1063,7,WOOD E,22,26,14,4,24,15,105,Spring,2012
Art,AHIS,AHIS 11,4008,8,JAMES N M,8,6,2,1,3,9,29,Spring,2012
Art,AHIS,AHIS 11,4009,7,WOOD E,19,13,9,1,5,4,51,Spring,2012
Art,AHIS,AHIS 17,1064,9,O'LEARY T F,7,4,4,1,8,11,35,Spring,2012
Art,AHIS,AHIS 17,1065,9,O'LEARY T F,5,4,7,3,10,7,36,Spring,2012
Art,AHIS,AHIS 18,1066,10,BROWN WE,6,17,5,1,0,10,39,Spring,2012
Art,AHIS,AHIS 72,1069,11,FOLLAND T F,15,10,13,1,7,4,50,Spring,2012
Art,AHIS,AHIS 72,1070,10,BROWN WE,16,12,5,2,2,5,42,Spring,2012
